project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
E-commerce Platform,Retail,3,11,3,10,2566603.06
Legacy System Modernization,Retail,6,5,1,4,1811096.79
SaaS Product,Education,13,7,1,8,5109226.31
E-commerce Platform,Healthcare,9,11,5,7,9023187.39
Web Application,Retail,9,8,4,8,5624223.24
Cybersecurity Implementation,Startup,9,8,5,9,6232918.06
Blockchain Solution,Retail,15,9,3,6,12158790.36
AI/ML Solution,Startup,13,15,5,8,18168709.73
Blockchain Solution,Healthcare,16,11,2,2,15015357.96
Cybersecurity Implementation,Healthcare,2,9,4,8,1809780.79
Cybersecurity Implementation,Healthcare,14,9,1,1,9000504.8
E-commerce Platform,Retail,6,9,5,8,3902428.46
CRM System,Finance,2,13,5,5,2636411.78
E-commerce Platform,Retail,8,9,1,3,3440318.95
Blockchain Solution,Retail,4,7,1,10,2259063.19
E-commerce Platform,Education,14,10,3,1,8747040.38
Web Application,Education,11,4,5,9,3157728.97
E-commerce Platform,Retail,14,7,5,2,8938701.79
Business Intelligence Dashboard,Startup,12,6,2,4,3475676.56
Cloud Migration,Education,16,9,2,8,16872093.39
Blockchain Solution,Retail,6,5,5,6,3149841.43
Business Intelligence Dashboard,Finance,1,5,2,10,401072.68
CRM System,Startup,12,14,5,10,14550291.97
Cybersecurity Implementation,Healthcare,7,11,4,2,7255467.45
Data Engineering Pipeline,Retail,8,12,3,3,6325682.56
IoT System,Retail,9,11,2,10,7183159.2
SaaS Product,Startup,2,14,5,1,1878549.06
Cloud Migration,Education,17,6,2,7,6620105.03
SaaS Product,Education,13,12,3,5,11000968.74
E-commerce Platform,Education,5,14,4,2,5075342.67
Legacy System Modernization,Healthcare,10,14,1,4,7456885.9
Cloud Migration,Startup,12,7,1,4,4687950.06
Web Application,Startup,17,12,2,0,10902139.04
Legacy System Modernization,Education,6,5,5,4,2443891.16
ERP System,Education,3,3,3,5,600291.63
Mobile Application,Finance,15,13,4,9,18432112.96
Mobile Application,Finance,7,13,4,9,7461907.82
Mobile Application,Retail,6,15,4,10,7503345.16
ERP System,Retail,4,3,1,10,880955.57
SaaS Product,Startup,5,13,3,10,5123671.51
Web Application,Startup,3,4,1,1,530548.68
Legacy System Modernization,Healthcare,9,3,2,2,2024661.92
ERP System,Healthcare,6,2,4,9,1097623.12
Mobile Application,Finance,13,15,3,4,16210972.65
CRM System,Retail,4,9,4,2,2919723.09
AI/ML Solution,Finance,2,13,1,4,2089695.42
Legacy System Modernization,Finance,4,6,1,4,1643164.55
Blockchain Solution,Retail,8,11,1,7,6424851.71
Cybersecurity Implementation,Healthcare,13,2,4,9,2585745.37
ERP System,Retail,10,14,3,8,11232887.48
Web Application,Education,18,10,3,7,9334206.57
Web Application,Education,9,9,2,2,4770886.64
Blockchain Solution,Education,1,5,4,0,406681.0
Business Intelligence Dashboard,Startup,13,9,2,2,6274175.86
AI/ML Solution,Healthcare,18,14,2,0,16146373.88
Legacy System Modernization,Healthcare,15,13,2,10,13452904.0
Data Engineering Pipeline,Startup,2,14,2,8,1780734.93
Cloud Migration,Finance,11,11,1,2,8516319.9
Mobile Application,Education,14,8,2,7,6399425.65
Legacy System Modernization,Education,15,12,3,5,12105562.43
E-commerce Platform,Finance,14,12,2,2,13422009.1
Data Engineering Pipeline,Retail,16,8,1,8,7301371.69
Business Intelligence Dashboard,Retail,15,2,5,7,2338453.21
Mobile Application,Healthcare,9,7,5,2,5551300.66
AI/ML Solution,Startup,5,14,5,6,5772610.46
IoT System,Healthcare,5,5,4,4,2420818.05
E-commerce Platform,Retail,11,15,3,1,11244599.72
Business Intelligence Dashboard,Finance,4,11,1,7,3098422.69
SaaS Product,Healthcare,18,11,5,0,14597861.43
Mobile Application,Education,3,11,1,3,1817789.88
AI/ML Solution,Education,4,12,1,10,2478225.25
DevOps Automation,Finance,14,13,4,10,17695656.78
Data Engineering Pipeline,Retail,7,3,5,3,1721727.63
Data Engineering Pipeline,Education,8,11,2,9,5136122.46
Cloud Migration,Education,16,8,1,4,7062548.19
Blockchain Solution,Startup,15,10,5,3,13490368.01
AI/ML Solution,Healthcare,7,14,1,0,7017632.94
ERP System,Retail,17,6,4,6,8202484.61
DevOps Automation,Healthcare,12,9,4,9,9448506.59
IoT System,Retail,18,6,2,10,8287669.58
CRM System,Education,14,15,4,1,16207380.19
Mobile Application,Startup,15,8,5,9,8776652.13
E-commerce Platform,Healthcare,15,8,4,2,10677195.31
DevOps Automation,Education,5,10,2,4,3036668.51
AI/ML Solution,Retail,16,4,3,7,5202097.71
SaaS Product,Healthcare,5,15,1,9,5019036.97
Cybersecurity Implementation,Healthcare,2,2,1,7,280410.19
Mobile Application,Education,9,3,5,1,2190097.29
Web Application,Healthcare,9,13,2,8,7725099.51
Data Engineering Pipeline,Startup,4,7,2,5,1752887.9
SaaS Product,Startup,15,15,2,8,14381111.93
Blockchain Solution,Education,11,11,1,3,7793991.25
AI/ML Solution,Retail,1,11,4,2,1469190.85
IoT System,Education,18,13,1,4,13218572.08
Web Application,Startup,1,14,1,4,679220.61
Cloud Migration,Finance,8,15,1,3,8492962.76
E-commerce Platform,Finance,16,10,4,6,14986525.92
Legacy System Modernization,Healthcare,18,4,3,7,5370819.57
Business Intelligence Dashboard,Healthcare,9,11,5,4,8848239.31
CRM System,Finance,12,3,3,8,3314679.18
CRM System,Startup,18,12,3,6,16215159.7
SaaS Product,Healthcare,5,2,1,6,712782.17
Web Application,Education,2,3,3,7,360689.68
Legacy System Modernization,Education,7,4,1,3,1556094.57
Legacy System Modernization,Startup,10,8,1,9,4720508.21
Data Engineering Pipeline,Healthcare,15,3,5,5,4420096.97
Cloud Migration,Education,7,14,2,4,6368488.36
Cybersecurity Implementation,Healthcare,5,6,1,0,2230135.43
Data Engineering Pipeline,Healthcare,15,3,3,8,3624429.31
DevOps Automation,Education,15,8,5,1,8931148.24
Blockchain Solution,Finance,10,11,3,5,11447342.43
CRM System,Education,14,9,2,7,8941432.12
DevOps Automation,Startup,10,9,4,2,6239473.65
IoT System,Retail,17,14,2,4,17444476.6
Mobile Application,Education,14,9,5,6,10550161.96
ERP System,Healthcare,2,11,2,3,1488590.9
AI/ML Solution,Healthcare,16,10,2,4,13314632.48
E-commerce Platform,Education,13,2,5,0,1917868.84
Cloud Migration,Retail,9,13,5,3,10816745.96
Data Engineering Pipeline,Education,7,2,3,6,1013512.98
CRM System,Retail,16,15,1,9,15011836.29
DevOps Automation,Retail,10,15,4,6,12016960.27
Business Intelligence Dashboard,Startup,9,15,4,9,8248880.38
SaaS Product,Healthcare,7,11,4,9,7357453.61
Blockchain Solution,Healthcare,16,3,2,3,4262932.54
Blockchain Solution,Retail,9,12,5,5,10629601.78
Mobile Application,Healthcare,17,7,5,4,10923245.45
AI/ML Solution,Finance,7,15,5,0,10559771.01
AI/ML Solution,Retail,11,2,1,7,1562865.06
Blockchain Solution,Healthcare,8,6,5,6,5095994.05
Blockchain Solution,Finance,7,6,5,4,4629165.12
Legacy System Modernization,Startup,12,5,2,9,3943698.05
Data Engineering Pipeline,Healthcare,7,12,3,9,6217634.61
Legacy System Modernization,Finance,8,6,4,6,7677703.59
Cloud Migration,Education,7,13,2,9,6642890.11
Cybersecurity Implementation,Education,6,2,2,2,816554.33
IoT System,Finance,9,12,2,7,9314216.4
Business Intelligence Dashboard,Retail,13,12,4,4,9764698.14
IoT System,Retail,7,7,2,1,3608669.22
Data Engineering Pipeline,Healthcare,8,8,3,1,5222310.61
DevOps Automation,Education,17,9,5,3,12686280.17
ERP System,Retail,17,3,3,6,3954751.3
Blockchain Solution,Retail,16,8,5,9,12423903.27
Web Application,Education,2,7,5,3,1086486.23
Cybersecurity Implementation,Startup,8,10,2,8,5607641.35
Cloud Migration,Retail,17,9,2,1,10301306.12
Mobile Application,Finance,13,15,4,5,15364424.58
Cybersecurity Implementation,Healthcare,18,12,1,3,24129504.63
Blockchain Solution,Retail,10,15,3,5,13505061.99
CRM System,Retail,2,5,4,9,905634.82
Cloud Migration,Startup,2,15,4,8,2418224.49
ERP System,Finance,14,14,3,9,15786973.21
CRM System,Healthcare,16,10,3,8,14525121.33
Cybersecurity Implementation,Retail,7,2,5,8,1257378.47
Web Application,Healthcare,12,12,1,8,9658751.4
Web Application,Education,14,7,2,2,5979482.21
Legacy System Modernization,Retail,4,9,1,10,1992582.31
ERP System,Retail,4,12,1,8,5109812.07
AI/ML Solution,Education,18,12,2,2,15320704.33
E-commerce Platform,Startup,3,5,1,9,843348.26
Business Intelligence Dashboard,Retail,1,3,4,2,197825.61
Blockchain Solution,Healthcare,17,12,4,4,19402622.33
Mobile Application,Finance,7,3,2,5,1693778.85
Blockchain Solution,Healthcare,16,11,2,8,15318371.25
AI/ML Solution,Startup,5,2,3,0,750124.65
IoT System,Finance,7,6,3,7,4104845.28
Legacy System Modernization,Healthcare,14,14,1,3,13117654.95
Legacy System Modernization,Healthcare,2,7,1,9,935542.71
IoT System,Education,3,5,2,6,934102.39
SaaS Product,Startup,17,5,1,5,4927338.61
IoT System,Education,16,6,5,5,8486110.62
Web Application,Finance,8,15,4,6,9942838.53
Web Application,Education,18,6,1,3,5693869.05
DevOps Automation,Startup,15,15,1,5,11790397.29
CRM System,Retail,7,15,3,2,11347624.6
Cybersecurity Implementation,Retail,9,15,5,4,13333306.22
Mobile Application,Finance,6,15,1,1,6276477.92
ERP System,Retail,18,10,4,2,12908438.79
Cybersecurity Implementation,Education,18,9,1,8,10336547.0
Blockchain Solution,Finance,14,10,2,5,12913042.34
DevOps Automation,Startup,14,14,5,2,14319178.93
Web Application,Finance,14,15,1,1,13341346.66
Legacy System Modernization,Finance,4,4,5,4,1474384.17
ERP System,Healthcare,4,15,1,9,4659404.09
Web Application,Healthcare,15,4,4,4,5069259.11
E-commerce Platform,Finance,15,2,4,0,2690969.72
Mobile Application,Retail,18,15,5,2,22887075.23
CRM System,Healthcare,14,11,3,6,13269130.16
SaaS Product,Startup,1,14,3,8,1542269.19
Cybersecurity Implementation,Education,10,7,2,4,4543977.02
Cybersecurity Implementation,Healthcare,10,5,3,3,4334784.49
IoT System,Finance,10,12,5,2,13017059.51
AI/ML Solution,Retail,2,15,3,9,2540717.27
IoT System,Education,8,9,2,8,5133599.26
E-commerce Platform,Healthcare,1,3,1,6,201295.87
ERP System,Retail,1,12,3,6,873003.75
Business Intelligence Dashboard,Retail,4,3,5,7,1002839.15
IoT System,Retail,7,8,5,9,5235715.31
SaaS Product,Finance,9,14,2,0,9855600.33
DevOps Automation,Startup,16,6,2,10,6059850.14
IoT System,Retail,5,14,4,3,5852062.83
IoT System,Education,2,2,4,4,321925.06
Business Intelligence Dashboard,Healthcare,11,8,4,4,7065724.02
AI/ML Solution,Education,18,8,1,0,8387303.25
Mobile Application,Finance,13,11,5,2,12001915.04
DevOps Automation,Finance,11,7,4,1,6461174.53
IoT System,Education,17,5,5,6,7391393.2
E-commerce Platform,Startup,5,13,2,4,3315569.24
Legacy System Modernization,Finance,13,14,1,2,9833513.02
CRM System,Finance,1,9,2,10,732659.32
SaaS Product,Education,10,13,5,7,10429968.62
Business Intelligence Dashboard,Finance,8,12,4,0,7994777.01
CRM System,Startup,8,3,2,0,1380248.13
Business Intelligence Dashboard,Startup,6,3,3,5,1013448.07
E-commerce Platform,Startup,12,3,1,0,1975181.13
CRM System,Healthcare,7,4,5,3,2534756.81
Business Intelligence Dashboard,Startup,16,7,4,5,7417923.89
Blockchain Solution,Startup,9,2,2,0,1197204.56
CRM System,Healthcare,10,12,1,8,8178533.22
AI/ML Solution,Retail,10,3,4,3,2626107.71
Cloud Migration,Finance,10,11,2,8,8768318.47
DevOps Automation,Startup,16,3,5,8,3907969.9
ERP System,Finance,1,15,3,5,1370363.14
Mobile Application,Education,17,13,3,6,16568278.42
Blockchain Solution,Finance,14,2,5,0,3279635.55
Data Engineering Pipeline,Healthcare,17,4,1,4,3785140.63
Web Application,Finance,14,11,5,2,13627925.11
E-commerce Platform,Finance,8,8,2,9,4768592.02
E-commerce Platform,Finance,9,14,1,9,8539400.67
IoT System,Retail,8,2,3,5,1320732.4
Legacy System Modernization,Retail,13,8,2,3,6991248.74
SaaS Product,Education,17,6,4,8,7884927.87
ERP System,Healthcare,7,10,4,6,6389277.84
Web Application,Finance,17,3,4,3,3994212.49
E-commerce Platform,Finance,1,2,3,10,190138.99
DevOps Automation,Finance,5,10,5,5,4955276.04
ERP System,Finance,6,9,1,1,3106501.03
CRM System,Retail,2,11,3,2,1727946.59
CRM System,Education,16,7,2,10,7250658.6
Data Engineering Pipeline,Startup,5,6,2,6,1682245.19
Web Application,Healthcare,5,9,4,10,3570578.93
E-commerce Platform,Finance,12,9,1,3,7344636.69
Mobile Application,Education,3,15,4,9,3662259.7
E-commerce Platform,Startup,16,6,2,6,5022428.53
DevOps Automation,Education,6,13,2,8,8146306.7
CRM System,Retail,15,8,5,4,9035144.91
IoT System,Startup,15,14,5,0,16469611.2
Cloud Migration,Education,16,14,5,4,18124037.53
AI/ML Solution,Retail,13,2,4,5,2313487.82
AI/ML Solution,Education,12,5,1,10,4338989.29
Business Intelligence Dashboard,Education,10,3,5,1,2379486.55
Mobile Application,Startup,14,11,3,7,10695909.57
E-commerce Platform,Retail,2,4,5,1,704006.06
AI/ML Solution,Finance,3,13,4,8,3996890.83
Business Intelligence Dashboard,Healthcare,9,2,1,1,1130369.56
Web Application,Startup,11,12,5,2,14648480.14
CRM System,Retail,11,12,1,7,9777103.4
SaaS Product,Education,10,3,3,10,2288401.74
Legacy System Modernization,Retail,14,14,2,5,13599067.39
Blockchain Solution,Healthcare,9,2,1,0,1042890.65
CRM System,Healthcare,10,9,5,3,14639687.54
Blockchain Solution,Finance,9,5,4,4,4772498.1
IoT System,Finance,5,4,4,10,1790936.6
Cloud Migration,Healthcare,8,2,4,2,1193281.02
ERP System,Startup,11,3,4,0,2430653.0
AI/ML Solution,Startup,1,4,1,2,202739.92
Web Application,Education,10,4,4,8,2935182.68
Blockchain Solution,Finance,1,7,2,1,651139.23
Legacy System Modernization,Education,7,11,3,0,4988647.91
Cybersecurity Implementation,Finance,14,9,1,6,9097022.46
E-commerce Platform,Healthcare,5,7,1,6,2353776.27
AI/ML Solution,Startup,17,3,4,4,4380600.0
E-commerce Platform,Startup,6,3,4,1,1305506.87
Legacy System Modernization,Healthcare,16,15,1,0,13993351.41
Mobile Application,Education,11,8,4,4,6101370.53
IoT System,Education,10,2,4,9,1396326.3
ERP System,Retail,15,2,4,3,2335379.21
AI/ML Solution,Finance,7,8,4,8,5775012.75
E-commerce Platform,Education,2,10,4,4,1489290.85
Web Application,Healthcare,12,6,5,10,6911481.91
AI/ML Solution,Education,12,12,5,9,13858001.82
Blockchain Solution,Startup,16,2,5,1,2794796.01
Mobile Application,Finance,6,6,1,3,2572549.08
Cybersecurity Implementation,Retail,3,12,3,8,3070110.93
DevOps Automation,Finance,2,2,1,7,309426.35
Data Engineering Pipeline,Startup,5,11,5,2,4330280.62
Cybersecurity Implementation,Startup,11,13,1,7,7670194.24
Business Intelligence Dashboard,Startup,3,10,3,1,1574361.73
AI/ML Solution,Startup,3,5,4,2,1117708.77
CRM System,Healthcare,5,10,2,4,3976381.93
Cloud Migration,Retail,11,3,5,10,5353575.9
CRM System,Startup,3,8,5,9,2010071.77
Cybersecurity Implementation,Startup,13,13,3,9,13175238.45
Blockchain Solution,Education,8,14,4,7,10788715.61
CRM System,Retail,10,3,4,0,3801168.98
Web Application,Finance,2,13,2,3,1537977.25
CRM System,Retail,4,5,4,0,1605438.51
ERP System,Retail,18,7,3,0,9987239.88
DevOps Automation,Retail,4,15,4,4,4039278.89
AI/ML Solution,Startup,9,3,3,5,2000265.39
Legacy System Modernization,Startup,16,3,5,0,3168251.57
IoT System,Healthcare,6,3,5,10,1900957.45
CRM System,Finance,4,4,5,5,1495984.76
Mobile Application,Education,9,6,1,4,2543562.61
IoT System,Retail,13,10,5,3,11641047.52
DevOps Automation,Finance,9,7,3,9,5618666.31
E-commerce Platform,Finance,6,13,2,4,6181947.59
Legacy System Modernization,Healthcare,14,15,4,7,19359262.2
Blockchain Solution,Education,15,10,5,8,14769507.06
DevOps Automation,Retail,3,11,1,10,2156119.19
CRM System,Education,5,15,1,1,4470304.98
DevOps Automation,Healthcare,18,14,3,5,19376468.83
IoT System,Startup,14,6,2,2,4901793.31
Cloud Migration,Finance,16,12,5,1,17892488.93
Blockchain Solution,Retail,14,7,5,0,10037506.62
CRM System,Startup,9,11,1,3,6186503.43
Web Application,Healthcare,15,13,3,7,15047897.64
Cybersecurity Implementation,Education,7,9,1,2,4125526.71
ERP System,Finance,14,4,1,4,4130926.31
Data Engineering Pipeline,Retail,6,3,2,9,2176594.51
SaaS Product,Startup,15,4,3,4,3369999.47
Business Intelligence Dashboard,Startup,8,15,2,4,7194162.58
Blockchain Solution,Finance,2,10,3,10,1993448.11
DevOps Automation,Education,8,7,5,8,4449116.73
Web Application,Healthcare,1,11,4,7,925957.3
AI/ML Solution,Education,17,13,4,7,19997821.82
AI/ML Solution,Education,5,5,3,0,1890342.48
Business Intelligence Dashboard,Education,16,11,4,0,11730302.54
Blockchain Solution,Finance,7,4,1,1,2106612.7
Blockchain Solution,Finance,7,14,5,7,8912170.47
ERP System,Healthcare,18,3,5,9,5556166.08
DevOps Automation,Education,18,15,4,0,19157399.92
Legacy System Modernization,Finance,2,5,3,3,712601.7
Cloud Migration,Healthcare,15,10,1,8,16560850.96
Business Intelligence Dashboard,Healthcare,14,5,3,1,5293345.03
ERP System,Education,18,14,4,2,19453502.32
DevOps Automation,Retail,9,13,5,10,10138095.7
IoT System,Education,14,6,5,5,7871375.75
Web Application,Retail,5,9,3,10,2868830.42
SaaS Product,Healthcare,11,3,2,9,2455876.08
Cybersecurity Implementation,Finance,8,13,3,2,9186229.79
Cloud Migration,Startup,5,12,2,3,3712484.53
Legacy System Modernization,Healthcare,11,15,3,8,12374380.64
IoT System,Finance,5,4,2,8,1668447.51
IoT System,Healthcare,17,7,2,9,10316571.45
Data Engineering Pipeline,Education,4,13,2,4,3221683.44
AI/ML Solution,Retail,15,8,2,6,9678436.88
Mobile Application,Healthcare,2,5,1,8,1081341.12
Web Application,Finance,17,15,2,7,17137795.3
AI/ML Solution,Education,12,2,2,10,1889332.01
CRM System,Startup,17,8,5,6,11162825.28
SaaS Product,Education,10,13,1,7,6300203.08
IoT System,Retail,18,10,2,4,12620887.5
Mobile Application,Education,18,2,4,4,2907842.86
Blockchain Solution,Startup,13,15,1,4,12935124.03
AI/ML Solution,Finance,14,2,5,0,3103961.75
Legacy System Modernization,Healthcare,16,2,3,5,2405090.84
Legacy System Modernization,Retail,18,11,5,4,17668592.5
Legacy System Modernization,Startup,18,8,5,7,10468486.7
ERP System,Retail,16,12,1,7,12041700.12
Cloud Migration,Education,17,10,1,1,10284996.21
E-commerce Platform,Retail,7,4,4,10,1834654.0
AI/ML Solution,Startup,12,9,4,5,9417227.79
Legacy System Modernization,Healthcare,2,10,1,10,1304363.58
Data Engineering Pipeline,Healthcare,10,4,1,9,2331486.07
Cybersecurity Implementation,Retail,5,13,1,9,4012775.15
ERP System,Finance,3,13,3,5,3428266.47
E-commerce Platform,Retail,13,4,5,2,4458776.49
Web Application,Education,12,2,4,0,1546813.66
Web Application,Healthcare,3,3,4,6,627652.94
Web Application,Healthcare,6,8,2,9,3603416.24
Web Application,Healthcare,14,4,3,4,4041061.86
Cybersecurity Implementation,Finance,4,8,1,9,2639781.76
AI/ML Solution,Finance,13,6,1,4,5974401.15
Legacy System Modernization,Startup,18,11,3,10,11677349.82
DevOps Automation,Retail,3,9,4,7,2060182.17
AI/ML Solution,Retail,6,6,1,4,2362361.06
IoT System,Education,16,4,2,4,4207545.82
CRM System,Healthcare,3,10,4,0,4105026.98
E-commerce Platform,Finance,12,8,5,1,9651733.7
Legacy System Modernization,Education,4,6,3,4,2856166.97
SaaS Product,Education,1,8,4,6,550969.44
E-commerce Platform,Finance,2,12,5,2,2187463.86
Legacy System Modernization,Retail,13,11,2,0,8701599.58
Cloud Migration,Healthcare,13,10,3,10,10796936.91
Mobile Application,Retail,2,6,1,1,689296.88
DevOps Automation,Education,16,8,1,2,7281377.59
E-commerce Platform,Healthcare,12,12,5,8,12065122.51
DevOps Automation,Startup,1,10,4,7,727321.09
IoT System,Education,9,2,2,3,1069499.96
AI/ML Solution,Retail,17,5,5,7,7435012.19
DevOps Automation,Retail,10,2,2,8,1346634.93
Business Intelligence Dashboard,Retail,18,9,2,2,10570014.7
Business Intelligence Dashboard,Finance,7,4,2,5,1937206.08
SaaS Product,Education,15,3,3,7,3419758.3
CRM System,Healthcare,9,15,5,9,11597555.25
Blockchain Solution,Retail,10,5,3,6,4378746.25
Mobile Application,Retail,4,12,4,8,3820315.89
Data Engineering Pipeline,Finance,6,4,4,6,2060642.54
Cybersecurity Implementation,Healthcare,4,12,1,0,3211938.47
AI/ML Solution,Education,5,6,1,8,2165480.15
Cybersecurity Implementation,Startup,9,14,1,4,7989900.79
SaaS Product,Finance,12,9,4,5,10401415.16
Data Engineering Pipeline,Education,8,11,2,1,4703667.9
SaaS Product,Startup,5,9,2,1,2616579.89
Legacy System Modernization,Retail,11,12,5,3,9896222.49
AI/ML Solution,Retail,11,8,4,3,7941461.45
AI/ML Solution,Healthcare,13,9,1,4,8259707.11
Mobile Application,Startup,14,14,4,6,13426614.68
Cybersecurity Implementation,Retail,8,14,2,10,8772978.63
Business Intelligence Dashboard,Retail,18,6,2,0,6408087.38
Web Application,Healthcare,12,11,3,9,10537520.06
Cybersecurity Implementation,Education,12,11,3,3,10014554.95
Cloud Migration,Retail,18,12,5,8,21300065.24
SaaS Product,Finance,10,13,4,7,12601152.87
Cloud Migration,Finance,7,12,3,2,6899347.33
AI/ML Solution,Education,18,14,3,5,16804928.07
Web Application,Startup,12,7,4,10,4945202.16
